"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2037,3,"D","ER","LREC","NewElecGHG",43.0989763335075,"Elec New","Elec New"
2038,3,"D","ER","LREC","NewElecGHG",43.5064832994298,"Elec New","Elec New"
2039,3,"D","ER","LREC","NewElecGHG",43.670055298956,"Elec New","Elec New"
2040,3,"D","ER","LREC","NewElecGHG",43.5136821810568,"Elec New","Elec New"
2041,3,"D","ER","LREC","NewElecGHG",42.9936673742006,"Elec New","Elec New"
2042,3,"D","ER","LREC","NewElecGHG",42.1955686248464,"Elec New","Elec New"
2043,3,"D","ER","LREC","NewElecGHG",41.2372572589505,"Elec New","Elec New"
2044,3,"D","ER","LREC","NewElecGHG",40.2366046024694,"Elec New","Elec New"
2045,3,"D","ER","LREC","NewElecGHG",39.3114819813597,"Elec New","Elec New"
2046,3,"D","ER","LREC","NewElecGHG",38.5602845371286,"Elec New","Elec New"
2047,3,"D","ER","LREC","NewElecGHG",38.0035026734864,"Elec New","Elec New"
2048,3,"D","ER","LREC","NewElecGHG",37.6421506096941,"Elec New","Elec New"
2049,3,"D","ER","LREC","NewElecGHG",37.4772425650128,"Elec New","Elec New"
2050,3,"D","ER","LREC","NewElecGHG",37.5097927587036,"Elec New","Elec New"
2051,3,"D","ER","LREC","NewElecGHG",37.7312741499175,"Elec New","Elec New"
2052,3,"D","ER","LREC","NewElecGHG",38.0949946573648,"Elec New","Elec New"
2053,3,"D","ER","LREC","NewElecGHG",38.5447209396458,"Elec New","Elec New"
2054,3,"D","ER","LREC","NewElecGHG",39.0242196553608,"Elec New","Elec New"
2055,3,"D","ER","LREC","NewElecGHG",39.4772574631102,"Elec New","Elec New"
2056,3,"D","ER","LREC","NewElecGHG",39.8495092735162,"Elec New","Elec New"
2057,3,"D","ER","LREC","NewElecGHG",40.0942830052893,"Elec New","Elec New"
2058,3,"D","ER","LREC","NewElecGHG",40.1667948291619,"Elec New","Elec New"
2059,3,"D","ER","LREC","NewElecGHG",40.0222609158664,"Elec New","Elec New"
2060,3,"D","ER","LREC","NewElecGHG",39.6158974361354,"Elec New","Elec New"
