"State","pc_redn_ER","pc_redn_LRE","pc_redn_hiMF","pc_redn_DERFA","pc_redn_hiDR","pc_redn_ER_LRE","abs_redn_ER","abs_redn_LRE","abs_redn_hiMF","abs_redn_DERFA","abs_redn_hiDR","abs_redn_ER_LRE","ElecHeatShare_State","OldShare_State","SFShare_State","LargeShare_State","pop_growth_pc","GHG_int_2020"
"NM",0.1234,0.0997,0.0161,0.0463,-0.0155,0.2416,17.9103833854559,14.474314749723,2.3400977133773,6.72774032268404,-2.24586106853809,35.0640298939384,0.172,0.165,0.694,0.179,-0.024,0.336
"NV",0.088,0.1172,0.0467,0.061,-0.015,0.2187,20.93664373705,27.8769437128503,11.0952424301978,14.5108688050475,-3.56469772418768,52.0178729246877,0.35,0.035,0.663,0.168,0.437,0.307
"NY",0.3303,0.0217,0.024,0.0429,0.0067,0.3617,484.057151129262,31.8625317213139,35.1591648966503,62.9133887245193,9.75107643242154,530.139650816772,0.105,0.554,0.459,0.097,0.043,0.144
"OH",0.0585,0.1844,0.0145,0.0256,-0.006,0.3113,87.4250612411918,275.454202147061,21.6094139676529,38.2446712273797,-8.94511122572089,465.193223839401,0.239,0.376,0.746,0.179,-0.049,0.522
"OK",0.1739,0.2282,0.0464,0.1001,-0.022,0.4137,53.150131774906,69.7482440188981,14.1812431088545,30.5939751377891,-6.73312878595914,126.449810577896,0.412,0.203,0.766,0.124,0.358,0.268
"OR",0.143,0.1714,0.0394,0.0381,-0.0141,0.3257,38.3267088270316,45.9401242628897,10.5489840343074,10.1985786450488,-3.78070927584997,87.2884856548135,0.546,0.22,0.677,0.089,0.295,0.183
"PA",0.1664,0.12,0.0161,0.0241,0.0017,0.3284,217.685514071708,157.031850254975,21.0358346096843,31.5731106358164,2.27779759087957,429.609013782187,0.233,0.464,0.76,0.146,-0.039,0.305
"RI",0.3333,0.0608,0.011,0.0361,0.0151,0.4284,28.3738734938264,5.17560923461375,0.940145279655539,3.07298994617666,1.28596162487024,36.4698754870355,0.096,0.475,0.589,0.099,-0.052,0.14
"SC",0.088,0.2144,0.0565,0.0777,-0.0321,0.2993,32.9313060799368,80.2214101087722,21.1340566161751,29.0669115192348,-12.0055402212054,111.980050380402,0.752,0.12,0.694,0.135,0.326,0.282
"SD",0.1135,0.2184,0.0389,0.0488,0.0081,0.3925,14.4043472549722,27.719721230919,4.936021669084,6.1962746632117,1.02178602842983,49.8031262666337,0.326,0.275,0.725,0.172,0.461,0.417
"TN",0.064,0.3246,0.0299,0.0284,-0.0064,0.3916,49.9776455608967,253.649350145361,23.401378299348,22.1757050415852,-4.97409006953001,305.983265942646,0.653,0.164,0.733,0.127,0.227,0.548
"TX",0.0666,0.2145,0.0513,0.0904,-0.0272,0.2825,146.782627547584,472.530781674209,112.999748860464,199.171043123185,-59.9570984221823,622.285103678327,0.64,0.134,0.688,0.152,0.639,0.324
"UT",0.1445,0.1123,0.0527,0.0921,-0.0045,0.2874,36.8961162390741,28.6677582308743,13.4601927732286,23.5158860883517,-1.1427619221017,73.3732255140233,0.102,0.155,0.761,0.191,0.59,0.183
"VA",0.1134,0.1959,0.047,0.0836,-0.0186,0.3127,82.716599745866,142.880144755078,34.3163345850942,60.9788853070016,-13.5913413241074,228.100345229357,0.568,0.203,0.737,0.187,0.22,0.319
"VT",0.3156,0.0571,0.0181,0.0313,-0.0027,0.4118,17.2965126401199,3.1279514276392,0.992432873201103,1.71460411549958,-0.146271299769829,22.5656002388653,0.039,0.358,0.682,0.099,-0.177,0.14
"WA",0.133,0.175,0.0475,0.0561,-0.0077,0.3147,70.4083510004217,92.6548971886845,25.1556957149571,29.7002971502995,-4.05270761003192,166.593251075237,0.613,0.196,0.665,0.11,0.422,0.183
"WI",0.0695,0.1998,0.02,0.0331,-0.0088,0.3764,49.4678343671831,142.30618484106,14.2573713045505,23.564837979585,-6.26909568353176,268.099708556879,0.164,0.34,0.703,0.194,-0.012,0.447
"WV",0.0587,0.2399,0.0202,0.0313,-0.0011,0.3212,13.4996670902457,55.2123688944006,4.65050509647224,7.19128516738095,-0.248862263274475,73.9038267807014,0.478,0.315,0.748,0.122,-0.136,0.522
"WY",0.1008,0.1018,0.0258,0.0477,-0.0134,0.2274,8.40144711731577,8.48509185787941,2.14823624355415,3.97936070140685,-1.11906748013405,18.9590843498708,0.243,0.226,0.737,0.172,0.304,0.406
