"Year","GHG_int","gea"
2045,35.4521114825592,"MROEc"
2046,31.4662634109518,"MROEc"
2048,32.9674785747691,"MROEc"
2050,27.9833966751892,"MROEc"
2020,140.613978429132,"NYSTc"
2022,180.780265512116,"NYSTc"
2034,60.8940185227351,"NYSTc"
2035,64.1502148368412,"NYSTc"
2036,67.4064111509474,"NYSTc"
2038,66.4752068217123,"NYSTc"
2040,61.678804417812,"NYSTc"
2042,67.1409131413037,"NYSTc"
2044,68.2528436129492,"NYSTc"
2024,116.522518130274,"NYSTc"
2025,108.89206121733,"NYSTc"
2026,101.261604304387,"NYSTc"
2028,86.2747899129751,"NYSTc"
2030,71.9266744089408,"NYSTc"
2032,69.4288602679264,"NYSTc"
2050,59.7396712362506,"NYSTc"
2045,64.5399138723586,"NYSTc"
2046,60.826984131768,"NYSTc"
2048,59.1110073070264,"NYSTc"
2028,206.776214284888,"SRVCc"
2030,153.231584855588,"SRVCc"
2026,255.223672679691,"SRVCc"
2035,103.863543648555,"SRVCc"
2036,99.633008065119,"SRVCc"
2032,126.733864585302,"SRVCc"
2034,108.094079231991,"SRVCc"
2020,281.6348821988,"SRVCc"
2022,293.347091012422,"SRVCc"
2024,297.152573969851,"SRVCc"
2025,276.188123324771,"SRVCc"
2046,50.9112266314894,"SRVCc"
2048,52.400608372034,"SRVCc"
2050,51.1273003415699,"SRVCc"
2044,63.4574128913167,"SRVCc"
2038,90.0690161739904,"SRVCc"
2040,82.9056185618054,"SRVCc"
2042,67.0494714482914,"SRVCc"
2045,57.1843197614031,"SRVCc"
2020,322.931794457593,"ERCTc"
2022,322.541532983616,"ERCTc"
2024,293.560489731861,"ERCTc"
2025,289.544610954409,"ERCTc"
2026,285.528732176956,"ERCTc"
2028,259.448729765806,"ERCTc"
2030,186.757169318367,"ERCTc"
2032,137.121134679122,"ERCTc"
2034,124.088795321856,"ERCTc"
2035,123.995230447859,"ERCTc"
2036,123.901665573861,"ERCTc"
2038,103.576402223044,"ERCTc"
2040,106.152592872299,"ERCTc"
2042,84.5228377407254,"ERCTc"
2044,74.7387172706062,"ERCTc"
2045,68.1327151365726,"ERCTc"
2046,61.526713002539,"ERCTc"
2048,57.9778976867929,"ERCTc"
2050,40.726158271672,"ERCTc"
