"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2036,1,"A","RR","LREC","OldOilGHG",46.8803684235779,"Oil Existing","Oil Existing"
2037,1,"A","RR","LREC","OldOilGHG",45.7029285770853,"Oil Existing","Oil Existing"
2038,1,"A","RR","LREC","OldOilGHG",44.5603720378061,"Oil Existing","Oil Existing"
2039,1,"A","RR","LREC","OldOilGHG",43.4414615462138,"Oil Existing","Oil Existing"
2040,1,"A","RR","LREC","OldOilGHG",42.3349598427815,"Oil Existing","Oil Existing"
2041,1,"A","RR","LREC","OldOilGHG",41.2334967351899,"Oil Existing","Oil Existing"
2042,1,"A","RR","LREC","OldOilGHG",40.1451702999483,"Oil Existing","Oil Existing"
2043,1,"A","RR","LREC","OldOilGHG",39.0819456807733,"Oil Existing","Oil Existing"
2044,1,"A","RR","LREC","OldOilGHG",38.0557880213817,"Oil Existing","Oil Existing"
2045,1,"A","RR","LREC","OldOilGHG",37.0786624654901,"Oil Existing","Oil Existing"
2046,1,"A","RR","LREC","OldOilGHG",36.1590552265566,"Oil Existing","Oil Existing"
2047,1,"A","RR","LREC","OldOilGHG",35.2915367970051,"Oil Existing","Oil Existing"
2048,1,"A","RR","LREC","OldOilGHG",34.4671987390011,"Oil Existing","Oil Existing"
2049,1,"A","RR","LREC","OldOilGHG",33.6771326147099,"Oil Existing","Oil Existing"
2050,1,"A","RR","LREC","OldOilGHG",32.912429986297,"Oil Existing","Oil Existing"
2051,1,"A","RR","LREC","OldOilGHG",32.1663913862888,"Oil Existing","Oil Existing"
2052,1,"A","RR","LREC","OldOilGHG",31.4411532286559,"Oil Existing","Oil Existing"
2053,1,"A","RR","LREC","OldOilGHG",30.74106089773,"Oil Existing","Oil Existing"
2054,1,"A","RR","LREC","OldOilGHG",30.0704597778426,"Oil Existing","Oil Existing"
2055,1,"A","RR","LREC","OldOilGHG",29.4336952533255,"Oil Existing","Oil Existing"
2056,1,"A","RR","LREC","OldOilGHG",28.8346709144381,"Oil Existing","Oil Existing"
2057,1,"A","RR","LREC","OldOilGHG",28.275523175151,"Oil Existing","Oil Existing"
2058,1,"A","RR","LREC","OldOilGHG",27.7579466553626,"Oil Existing","Oil Existing"
2059,1,"A","RR","LREC","OldOilGHG",27.2836359749713,"Oil Existing","Oil Existing"
2060,1,"A","RR","LREC","OldOilGHG",26.8542857538755,"Oil Existing","Oil Existing"
2020,1,"A","RR","LREC","NewOilGHG",0,"Oil New","Oil New"
2021,1,"A","RR","LREC","NewOilGHG",0.191763887721666,"Oil New","Oil New"
2022,1,"A","RR","LREC","NewOilGHG",0.391920753146643,"Oil New","Oil New"
2023,1,"A","RR","LREC","NewOilGHG",0.598086275050728,"Oil New","Oil New"
2024,1,"A","RR","LREC","NewOilGHG",0.807876132209718,"Oil New","Oil New"
2025,1,"A","RR","LREC","NewOilGHG",1.01890600339941,"Oil New","Oil New"
