"Year","EnGHG","StockScen","CharScen","RenScen","ElecScen","EmGHG","RenGHG","TotGHG","Housing_Scenario","New House Chars","StockScenario","UniqScen","ElecRen","Elec_Ren Scen","DiffGHG","Strategy"
2052,830.07062569691,"1","A","NR","G20",63.198148972934,0,893.268774669844,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,278.272982310234,"0. Mid-Case Electricity Supply"
2053,828.840819955056,"1","A","NR","G20",63.0456101160477,0,891.886430071103,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,280.708929847812,"0. Mid-Case Electricity Supply"
2054,827.591229356643,"1","A","NR","G20",62.9359640874558,0,890.527193444099,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,282.104224113046,"0. Mid-Case Electricity Supply"
2055,826.354219033041,"1","A","NR","G20",62.8249622613938,0,889.179181294435,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,283.080387108844,"0. Mid-Case Electricity Supply"
2056,825.159840162553,"1","A","NR","G20",62.7248692565005,0,887.884709419054,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,284.21389041415,"0. Mid-Case Electricity Supply"
2057,824.028888111223,"1","A","NR","G20",62.6175299012421,0,886.646418012465,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,285.901003912059,"0. Mid-Case Electricity Supply"
2058,822.979844292028,"1","A","NR","G20",62.5304241485422,0,885.51026844057,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,288.492947061708,"0. Mid-Case Electricity Supply"
2059,822.031190117945,"1","A","NR","G20",62.5270916960586,0,884.558281814004,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,292.340939322232,"0. Mid-Case Electricity Supply"
2060,821.201407001952,"1","A","NR","G20",62.5270916960586,0,883.728498698011,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,297.796200152765,"0. Mid-Case Electricity Supply"
2020,808.232095449661,"1","A","NR","MC",88.586691650616,0,896.818787100277,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,0,"0. Reg. Renovation"
2021,822.39007982702,"1","A","NR","MC",89.0246468076464,0,911.414726634667,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,-0.575338157056763,"0. Reg. Renovation"
2022,830.734526953909,"1","A","NR","MC",89.010226446971,0,919.74475340088,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,4.26632800615084,"0. Reg. Renovation"
2023,833.950140283402,"1","A","NR","MC",88.7376558807369,0,922.687796164139,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,8.82471293634217,"0. Reg. Renovation"
2024,832.721623268574,"1","A","NR","MC",88.085176954907,0,920.806800223481,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,13.3279675324173,"0. Reg. Renovation"
2025,827.7336793625,"1","A","NR","MC",87.2382868065231,0,914.971966169024,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,17.6095926357767,"0. Reg. Renovation"
2026,819.729624753563,"1","A","NR","MC",85.9976070522843,0,905.727231805848,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,22.0567110007328,"0. Reg. Renovation"
2027,809.687226571373,"1","A","NR","MC",84.6086097485034,0,894.295836319876,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,26.0727896194129,"0. Reg. Renovation"
2028,798.642864680847,"1","A","NR","MC",83.1474092986938,0,881.79027397954,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,29.5664513133745,"0. Reg. Renovation"
2029,787.632918946901,"1","A","NR","MC",81.5663308390196,0,869.199249785921,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,33.3116458880745,"0. Reg. Renovation"
2030,777.693769234454,"1","A","NR","MC",80.0335493211204,0,857.727318555575,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,36.8645223726954,"0. Reg. Renovation"
2031,769.568731731888,"1","A","NR","MC",78.5801707989202,0,848.148902530808,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,40.7855291529646,"0. Reg. Renovation"
2032,762.828867921443,"1","A","NR","MC",77.1555866149206,0,839.984454536364,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,44.0345207183884,"0. Reg. Renovation"
2033,756.752175608828,"1","A","NR","MC",75.7364490223684,0,832.488624631196,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,47.1471986168838,"0. Reg. Renovation"
2034,750.616652599748,"1","A","NR","MC",74.416886128173,0,825.033538727921,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,50.205406127107,"0. Reg. Renovation"
2035,743.70029669991,"1","A","NR","MC",73.1072321543898,0,816.8075288543,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,53.006493034572,"0. Reg. Renovation"
2036,735.444497108126,"1","A","NR","MC",71.8635784675221,0,807.308075575648,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,56.1530771051783,"0. Reg. Renovation"
2037,725.944208595622,"1","A","NR","MC",70.6680854745326,0,796.612294070155,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,58.6609147222831,"0. Reg. Renovation"
2038,715.45777732673,"1","A","NR","MC",69.4689886874411,0,784.926766014172,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,61.0002219792378,"0. Reg. Renovation"
2039,704.243549465783,"1","A","NR","MC",68.4384202976019,0,772.681969763385,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,63.2501745781998,"0. Reg. Renovation"
2040,692.559871177111,"1","A","NR","MC",67.4991129258941,0,760.058984103006,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,65.2742312207755,"0. Reg. Renovation"
2041,680.606522831559,"1","A","NR","MC",66.6795658064305,0,747.286088637989,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,67.4764856655206,"0. Reg. Renovation"
2042,668.349021626014,"1","A","NR","MC",66.0141610814717,0,734.363182707486,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,69.1642777963166,"0. Reg. Renovation"
2043,655.694318963877,"1","A","NR","MC",65.4480873496957,0,721.142406313572,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,70.8463490721194,"0. Reg. Renovation"
2044,642.549366248547,"1","A","NR","MC",64.9931183089035,0,707.54248455745,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,72.1577605120384,"0. Reg. Renovation"
2045,628.821114883425,"1","A","NR","MC",64.6806484593056,0,693.50176334273,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,73.2294323676798,"0. Reg. Renovation"
2046,614.547513913903,"1","A","NR","MC",64.3686658115576,0,678.916179725461,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,74.718188860349,"0. Reg. Renovation"
2047,600.290502953346,"1","A","NR","MC",64.0976105735109,0,664.388113526857,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,75.4238973827281,"0. Reg. Renovation"
2048,586.743019257111,"1","A","NR","MC",63.8740748118167,0,650.617094068928,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,76.2879413252588,"0. Reg. Renovation"
2049,574.598000080555,"1","A","NR","MC",63.6757381844097,0,638.273738264965,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,77.026663765942,"0. Reg. Renovation"
2050,564.548382679036,"1","A","NR","MC",63.5048088205094,0,628.053191499545,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,77.7219688420986,"0. Reg. Renovation"
2051,557.073421953427,"1","A","NR","MC",63.3388511844013,0,620.412273137828,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,78.9025775407551,"0. Reg. Renovation"
2052,551.797643386675,"1","A","NR","MC",63.198148972934,0,614.995792359609,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,79.7385829212702,"0. Reg. Renovation"
2053,548.131890107244,"1","A","NR","MC",63.0456101160477,0,611.177500223292,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,80.6436276506713,"0. Reg. Renovation"
2054,545.487005243596,"1","A","NR","MC",62.9359640874558,0,608.422969331052,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,81.4673882734586,"0. Reg. Renovation"
2055,543.273831924196,"1","A","NR","MC",62.8249622613938,0,606.09879418559,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,82.2306093716695,"0. Reg. Renovation"
2056,540.945949748404,"1","A","NR","MC",62.7248692565005,0,603.670819004904,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,83.2723747832214,"0. Reg. Renovation"
2057,538.127884199164,"1","A","NR","MC",62.6175299012421,0,600.745414100406,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,83.7389566026367,"0. Reg. Renovation"
2058,534.48689723032,"1","A","NR","MC",62.5304241485422,0,597.017321378862,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,84.1761126434674,"0. Reg. Renovation"
2059,529.690250795714,"1","A","NR","MC",62.5270916960586,0,592.217342491772,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,84.4773093748655,"0. Reg. Renovation"
2060,523.405206849187,"1","A","NR","MC",62.5270916960586,0,585.932298545246,"No Renovation","A. Base","1 Baseline","1_A_NR_MC","MC_NR",NA,84.5804745325342,"0. Reg. Renovation"
2020,808.232095449661,"1","A","RR","MC",88.586691650616,0,896.818787100277,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",18.6292981765573,"1. Reduced Floor Area (NHC)"
2021,817.325564356838,"1","A","RR","MC",89.0246468076464,5.63985362723906,911.990064791724,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",19.5524436512802,"1. Reduced Floor Area (NHC)"
2022,820.826428131689,"1","A","RR","MC",89.010226446971,5.64177081606899,915.478425394729,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",20.3736351007849,"1. Reduced Floor Area (NHC)"
2023,819.408999266635,"1","A","RR","MC",88.7376558807369,5.71642808042497,913.863083227797,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",21.1151814691166,"1. Reduced Floor Area (NHC)"
2024,813.747590254095,"1","A","RR","MC",88.085176954907,5.64606548206153,907.478832691064,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",21.7407221339995,"1. Reduced Floor Area (NHC)"
2025,804.516513586491,"1","A","RR","MC",87.2382868065231,5.60757314023269,897.362373533247,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",22.287415302983,"1. Reduced Floor Area (NHC)"
2026,792.447492367661,"1","A","RR","MC",85.9976070522843,5.2254213851693,883.670520805115,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",22.6976924247017,"1. Reduced Floor Area (NHC)"
2027,778.501892147117,"1","A","RR","MC",84.6086097485034,5.11254480484328,868.223046700464,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",23.0498694413931,"1. Reduced Floor Area (NHC)"
2028,763.698489085787,"1","A","RR","MC",83.1474092986938,5.37792428168501,852.223822666166,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",23.3529494814164,"1. Reduced Floor Area (NHC)"
2029,749.056059344601,"1","A","RR","MC",81.5663308390196,5.26521371422545,835.887603897846,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",23.589234076628,"1. Reduced Floor Area (NHC)"
2030,735.593379084489,"1","A","RR","MC",80.0335493211204,5.23586777727001,820.862796182879,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",23.8113368985944,"1. Reduced Floor Area (NHC)"
2031,724.042171409288,"1","A","RR","MC",78.5801707989202,4.74103116963492,807.363373377843,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.0345903736801,"1. Reduced Floor Area (NHC)"
2032,713.985947194476,"1","A","RR","MC",77.1555866149206,4.80840000857916,795.949933817976,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.2343596074176,"1. Reduced Floor Area (NHC)"
2033,704.721164258438,"1","A","RR","MC",75.7364490223684,4.88381273350606,785.341426014313,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.4121879668555,"1. Reduced Floor Area (NHC)"
2034,695.544280419561,"1","A","RR","MC",74.416886128173,4.86696605307999,774.828132600814,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.5788805725138,"1. Reduced Floor Area (NHC)"
2035,685.75175349623,"1","A","RR","MC",73.1072321543898,4.94205016910815,763.801035819728,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.7081916320698,"1. Reduced Floor Area (NHC)"
2036,674.799221925796,"1","A","RR","MC",71.8635784675221,4.49219807715109,751.15499847047,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.8217650999579,"1. Reduced Floor Area (NHC)"
2037,662.779046621466,"1","A","RR","MC",70.6680854745326,4.50424725187235,737.951379347871,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9111310146271,"1. Reduced Floor Area (NHC)"
2038,649.942769115412,"1","A","RR","MC",69.4689886874411,4.5147862320809,723.926544034934,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9606413179089,"1. Reduced Floor Area (NHC)"
2039,636.541930939803,"1","A","RR","MC",68.4384202976019,4.45144394777969,709.431795185185,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9985854995329,"1. Reduced Floor Area (NHC)"
2040,622.828073626813,"1","A","RR","MC",67.4991129258941,4.45756632952274,694.78475288223,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.0133272340747,"1. Reduced Floor Area (NHC)"
2041,608.996831145883,"1","A","RR","MC",66.6795658064305,4.1332060201554,679.809602972469,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.0105050194948,"1. Reduced Floor Area (NHC)"
2042,595.020207215538,"1","A","RR","MC",66.0141610814717,4.16453661415971,665.198904911169,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.0038219054935,"1. Reduced Floor Area (NHC)"
2043,580.814297991574,"1","A","RR","MC",65.4480873496957,4.03367190018363,650.296057241453,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9804443157071,"1. Reduced Floor Area (NHC)"
2044,566.295199629786,"1","A","RR","MC",64.9931183089035,4.09640610672212,635.384724045412,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9436537197818,"1. Reduced Floor Area (NHC)"
2045,551.379008285972,"1","A","RR","MC",64.6806484593056,4.21267422977301,620.272330975051,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9118821726863,"1. Reduced Floor Area (NHC)"
2046,536.10232498066,"1","A","RR","MC",64.3686658115576,3.72700007289441,604.197990865112,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.8555474157304,"1. Reduced Floor Area (NHC)"
2047,520.983770193313,"1","A","RR","MC",64.0976105735109,3.88283537730463,588.964216144129,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.7961277620886,"1. Reduced Floor Area (NHC)"
2048,506.66246926813,"1","A","RR","MC",63.8740748118167,3.79260866372282,574.329152743669,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.7533248237129,"1. Reduced Floor Area (NHC)"
2049,493.777547549306,"1","A","RR","MC",63.6757381844097,3.79378876530787,561.247074499023,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.7371693875739,"1. Reduced Floor Area (NHC)"
2050,482.968130381038,"1","A","RR","MC",63.5048088205094,3.85828345589899,550.331222657447,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.7650283520368,"1. Reduced Floor Area (NHC)"
2051,474.674372303885,"1","A","RR","MC",63.3388511844013,3.49647210878668,541.509695597073,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.842477186106,"1. Reduced Floor Area (NHC)"
2052,468.54054464385,"1","A","RR","MC",63.198148972934,3.51851582155489,535.257209438339,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",24.9661160648379,"1. Reduced Floor Area (NHC)"
2053,464.011947923296,"1","A","RR","MC",63.0456101160477,3.47631453327628,530.53387257262,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.1217667452492,"1. Reduced Floor Area (NHC)"
2054,460.533882664588,"1","A","RR","MC",62.9359640874558,3.48573430554991,526.955581057594,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.3012151743359,"1. Reduced Floor Area (NHC)"
2055,457.551649390089,"1","A","RR","MC",62.8249622613938,3.49157316243808,523.868184813921,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.4853266973521,"1. Reduced Floor Area (NHC)"
2056,454.550342782891,"1","A","RR","MC",62.7248692565005,3.12323218229159,520.398444221683,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.6658073239363,"1. Reduced Floor Area (NHC)"
2057,451.174234168996,"1","A","RR","MC",62.6175299012421,3.21469342753088,517.006457497769,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.8314708714898,"1. Reduced Floor Area (NHC)"
2058,447.107389035137,"1","A","RR","MC",62.5304241485422,3.20339555171609,512.841208735395,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",25.9792188719334,"1. Reduced Floor Area (NHC)"
2059,442.033872868041,"1","A","RR","MC",62.5270916960586,3.17906855280663,507.740033116907,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",26.1230633879369,"1. Reduced Floor Area (NHC)"
2060,435.637751154442,"1","A","RR","MC",62.5270916960586,3.18698116221108,501.351824012712,"1A Baseline","A. Base","1 Baseline","1_A_RR_MC","MC_RR","MC_RR",26.2247923522687,"1. Reduced Floor Area (NHC)"
2020,808.232095449661,"1","B","RR","MC",69.9573934740587,0,878.18948892372,"1B Baseline RFA","B. RFA","1 Baseline","1_B_RR_MC","MC_RR","MC_RR",8.13165076029838,"2. High Multifamily (HSE)"
2021,816.416308046607,"1","B","RR","MC",70.381459466597,5.63985362723906,892.437621140443,"1B Baseline RFA","B. RFA","1 Baseline","1_B_RR_MC","MC_RR","MC_RR",8.99740106716786,"2. High Multifamily (HSE)"
2022,819.0437773273,"1","B","RR","MC",70.4192421505751,5.64177081606899,895.104790293944,"1B Baseline RFA","B. RFA","1 Baseline","1_B_RR_MC","MC_RR","MC_RR",9.8593497874632,"2. High Multifamily (HSE)"
2023,816.788693419623,"1","B","RR","MC",70.2427802586322,5.71642808042497,892.74790175868,"1B Baseline RFA","B. RFA","1 Baseline","1_B_RR_MC","MC_RR","MC_RR",10.62025982256,"2. High Multifamily (HSE)"
2024,810.325246451459,"1","B","RR","MC",69.7667986235435,5.64606548206153,885.738110557064,"1B Baseline RFA","B. RFA","1 Baseline","1_B_RR_MC","MC_RR","MC_RR",11.2266068368853,"2. High Multifamily (HSE)"
