"Year","GHG_int","gea"
2032,513.216082314209,"RMPAc"
2046,311.162656736464,"RMPAc"
2022,586.981116431258,"RMPAc"
2050,246.064762866756,"RMPAc"
2036,482.099990110657,"RMPAc"
2038,461.761268012773,"RMPAc"
2040,420.99331109958,"RMPAc"
2042,382.405458067034,"RMPAc"
2044,332.258563172159,"RMPAc"
2045,321.710609954311,"RMPAc"
2020,518.071762889873,"RMPAc"
2024,608.091747802273,"RMPAc"
2025,134.200446260175,"NEWEc"
2026,120.528081348821,"NEWEc"
2024,147.872811171529,"NEWEc"
2032,102.682680111617,"NEWEc"
2034,99.7757648661683,"NEWEc"
2028,108.889096364869,"NEWEc"
2030,105.158985418754,"NEWEc"
2045,96.1102581067801,"NEWEc"
2046,106.256911935142,"NEWEc"
2048,99.0107162854723,"NEWEc"
2050,90.2927966102882,"NEWEc"
2036,111.597505534379,"NEWEc"
2038,102.860047048974,"NEWEc"
2040,102.12010775164,"NEWEc"
2035,105.686635200273,"NEWEc"
2044,85.9636042784182,"NEWEc"
2020,140.32505964437,"NEWEc"
2022,152.39067938431,"NEWEc"
2042,105.709916043852,"NEWEc"
2035,229.281288882674,"RFCEc"
2036,232.554830828215,"RFCEc"
2038,246.966667347078,"RFCEc"
2032,210.033406777991,"RFCEc"
2034,226.007746937133,"RFCEc"
2044,234.131490701362,"RFCEc"
2045,239.073633709595,"RFCEc"
2040,238.913515945462,"RFCEc"
2042,240.833670379538,"RFCEc"
2050,234.446499015858,"RFCEc"
2026,228.675826177521,"RFCEc"
2046,244.015776717829,"RFCEc"
2048,215.518785235793,"RFCEc"
2024,232.242037979041,"RFCEc"
2025,230.458932078281,"RFCEc"
2028,223.115735982069,"RFCEc"
2030,212.389682234523,"RFCEc"
2020,253.295496165992,"RFCEc"
2022,258.749268101416,"RFCEc"
2046,162.089347257929,"FRCCc"
2048,149.516072585768,"FRCCc"
2050,154.542697888273,"FRCCc"
2022,353.612597155082,"FRCCc"
2024,399.086435093727,"FRCCc"
2025,403.042644948982,"FRCCc"
2045,163.637120054468,"FRCCc"
2038,245.137547621972,"FRCCc"
2040,216.140753768178,"FRCCc"
2042,178.743821103477,"FRCCc"
2044,165.184892851008,"FRCCc"
2020,338.951281846509,"FRCCc"
2028,400.523556939789,"FRCCc"
2030,351.370062440537,"FRCCc"
2032,326.644275315647,"FRCCc"
2026,406.998854804237,"FRCCc"
2035,302.78064821024,"FRCCc"
2036,293.980422933068,"FRCCc"
2034,311.580873487412,"FRCCc"
2050,386.9817836253,"SRMWc"
2046,486.280560907929,"SRMWc"
2048,468.234400233721,"SRMWc"
