"County","GeoID","a_best_all","b_best_excl_LREC"
"AR, Yell County","05149","LREC","Ext. Ren."
"AZ, Apache County","04001","LREC","Ext. Ren."
"AZ, Cochise County","04003","LREC","Ext. Ren."
"AZ, Coconino County","04005","Ext. Ren.","Ext. Ren."
"AZ, Gila County","04007","Ext. Ren.","Ext. Ren."
"AZ, Graham County","04009","LREC","Ext. Ren."
"AZ, Greenlee County","04011","LREC","Ext. Ren."
"AZ, La Paz County","04012","LREC","Ext. Ren."
"AZ, Maricopa County","04013","LREC","IE & RFA"
"AZ, Mohave County","04015","LREC","Ext. Ren."
"AZ, Navajo County","04017","LREC","Ext. Ren."
"AZ, Pima County","04019","LREC","Ext. Ren."
"AZ, Pinal County","04021","LREC","Ext. Ren."
"AZ, Santa Cruz County","04023","LREC","Ext. Ren."
"AZ, Yavapai County","04025","Ext. Ren.","Ext. Ren."
"AZ, Yuma County","04027","LREC","IE & RFA"
"CA, Alameda County","06001","Ext. Ren.","Ext. Ren."
"CA, Amador County","06005","Ext. Ren.","Ext. Ren."
"CA, Butte County","06007","Ext. Ren.","Ext. Ren."
"CA, Calaveras County","06009","Ext. Ren.","Ext. Ren."
"CA, Colusa County","06011","Ext. Ren.","Ext. Ren."
"CA, Contra Costa County","06013","Ext. Ren.","Ext. Ren."
"CA, Del Norte County","06015","Ext. Ren.","Ext. Ren."
"CA, El Dorado County","06017","Ext. Ren.","Ext. Ren."
"CA, Fresno County","06019","Ext. Ren.","Ext. Ren."
"CA, Glenn County","06021","Ext. Ren.","Ext. Ren."
"CA, Humboldt County","06023","Ext. Ren.","Ext. Ren."
"CA, Imperial County","06025","Ext. Ren.","Ext. Ren."
"CA, Inyo County","06027","Ext. Ren.","Ext. Ren."
"CA, Kern County","06029","Ext. Ren.","Ext. Ren."
"CA, Kings County","06031","Ext. Ren.","Ext. Ren."
"CA, Lake County","06033","Ext. Ren.","Ext. Ren."
"CA, Lassen County","06035","LREC","Ext. Ren."
"CA, Los Angeles County","06037","Ext. Ren.","Ext. Ren."
"CA, Madera County","06039","Ext. Ren.","Ext. Ren."
"CA, Marin County","06041","Ext. Ren.","Ext. Ren."
"CA, Mariposa County","06043","Ext. Ren.","Ext. Ren."
"CA, Mendocino County","06045","Ext. Ren.","Ext. Ren."
"CA, Merced County","06047","Ext. Ren.","Ext. Ren."
"CA, Modoc County","06049","Ext. Ren.","Ext. Ren."
"CA, Mono County","06051","Ext. Ren.","Ext. Ren."
"CA, Monterey County","06053","Ext. Ren.","Ext. Ren."
"CA, Napa County","06055","Ext. Ren.","Ext. Ren."
"CA, Nevada County","06057","Ext. Ren.","Ext. Ren."
"CA, Orange County","06059","IE & RFA","IE & RFA"
"CA, Placer County","06061","Ext. Ren.","Ext. Ren."
"CA, Plumas County","06063","Ext. Ren.","Ext. Ren."
"CA, Riverside County","06065","Ext. Ren.","Ext. Ren."
"CA, Sacramento County","06067","Ext. Ren.","Ext. Ren."
"CA, San Benito County","06069","Ext. Ren.","Ext. Ren."
"CA, San Bernardino County","06071","Ext. Ren.","Ext. Ren."
"CA, San Diego County","06073","Ext. Ren.","Ext. Ren."
"CA, San Francisco County","06075","Ext. Ren.","Ext. Ren."
"CA, San Joaquin County","06077","Ext. Ren.","Ext. Ren."
"CA, San Luis Obispo County","06079","Ext. Ren.","Ext. Ren."
"CA, San Mateo County","06081","IE & RFA","IE & RFA"
"CA, Santa Barbara County","06083","Ext. Ren.","Ext. Ren."
"CA, Santa Clara County","06085","Ext. Ren.","Ext. Ren."
"CA, Santa Cruz County","06087","Ext. Ren.","Ext. Ren."
"CA, Shasta County","06089","Ext. Ren.","Ext. Ren."
"CA, Sierra County","06091","Ext. Ren.","Ext. Ren."
"CA, Siskiyou County","06093","Ext. Ren.","Ext. Ren."
"CA, Solano County","06095","Ext. Ren.","Ext. Ren."
"CA, Sonoma County","06097","Ext. Ren.","Ext. Ren."
"CA, Stanislaus County","06099","Ext. Ren.","Ext. Ren."
"CA, Sutter County","06101","Ext. Ren.","Ext. Ren."
"CA, Tehama County","06103","Ext. Ren.","Ext. Ren."
"CA, Trinity County","06105","Ext. Ren.","Ext. Ren."
"CA, Tulare County","06107","Ext. Ren.","Ext. Ren."
"CA, Tuolumne County","06109","Ext. Ren.","Ext. Ren."
"CA, Ventura County","06111","Ext. Ren.","Ext. Ren."
"CA, Yolo County","06113","Ext. Ren.","Ext. Ren."
"CA, Yuba County","06115","Ext. Ren.","Ext. Ren."
"CO, Adams County","08001","LREC","IE & RFA"
"CO, Alamosa County","08003","LREC","Ext. Ren."
"CO, Arapahoe County","08005","LREC","IE & RFA"
"CO, Baca County","08009","LREC","IE & RFA"
"CO, Bent County","08011","LREC",NA
"CO, Boulder County","08013","LREC","IE & RFA"
"CO, Broomfield County","08014","LREC","Ext. Ren."
"CO, Chaffee County","08015","LREC","Ext. Ren."
"CO, Clear Creek County","08019","LREC","Ext. Ren."
"CO, Conejos County","08021","Ext. Ren.","Ext. Ren."
"CO, Costilla County","08023","LREC","Ext. Ren."
"CO, Custer County","08027","LREC",NA
"CO, Delta County","08029","LREC","Ext. Ren."
"CO, Denver County","08031","LREC","IE & RFA"
"CO, Dolores County","08033","Ext. Ren.","Ext. Ren."
"CO, Douglas County","08035","LREC","IE & RFA"
"CO, Eagle County","08037","LREC","Ext. Ren."
"CO, El Paso County","08041","LREC","Ext. Ren."
"CO, Elbert County","08039","LREC","Ext. Ren."
"CO, Fremont County","08043","LREC","Ext. Ren."
"CO, Garfield County","08045","LREC","Ext. Ren."
"CO, Grand County","08049","LREC","Ext. Ren."
"CO, Gunnison County","08051","LREC","IE & RFA"
"CO, Huerfano County","08055","LREC","Ext. Ren."
"CO, Jackson County","08057","Ext. Ren.","Ext. Ren."
"CO, Jefferson County","08059","LREC","Ext. Ren."
"CO, Kiowa County","08061","LREC","Ext. Ren."
"CO, Kit Carson County","08063","Ext. Ren.","Ext. Ren."
"CO, La Plata County","08067","LREC","Ext. Ren."
"CO, Lake County","08065","LREC","Ext. Ren."
"CO, Larimer County","08069","LREC","IE & RFA"
"CO, Las Animas County","08071","LREC","Ext. Ren."
"CO, Lincoln County","08073","Ext. Ren.","Ext. Ren."
"CO, Logan County","08075","Ext. Ren.","Ext. Ren."
"CO, Mesa County","08077","LREC","Ext. Ren."
"CO, Moffat County","08081","LREC","Ext. Ren."
"CO, Montezuma County","08083","LREC","Ext. Ren."
"CO, Montrose County","08085","LREC","Ext. Ren."
"CO, Morgan County","08087","LREC","Ext. Ren."
"CO, Otero County","08089","Ext. Ren.","Ext. Ren."
"CO, Ouray County","08091","LREC",NA
"CO, Park County","08093","LREC","IE & RFA"
"CO, Phillips County","08095","Ext. Ren.","Ext. Ren."
"CO, Prowers County","08099","LREC","Ext. Ren."
"CO, Pueblo County","08101","LREC","High-MF"
"CO, Rio Blanco County","08103","Ext. Ren.","Ext. Ren."
"CO, Rio Grande County","08105","Ext. Ren.","Ext. Ren."
"CO, Saguache County","08109","LREC",NA
"CO, San Miguel County","08113","LREC","Ext. Ren."
"CO, Sedgwick County","08115","LREC",NA
"CO, Summit County","08117","LREC",NA
"CO, Teller County","08119","LREC","Ext. Ren."
"CO, Washington County","08121","LREC","Ext. Ren."
"CO, Weld County","08123","LREC","High-MF"
"CO, Yuma County","08125","LREC","Ext. Ren."
"CT, Fairfield County","09001","Ext. Ren.","Ext. Ren."
"CT, Hartford County","09003","Ext. Ren.","Ext. Ren."
"CT, Litchfield County","09005","Ext. Ren.","Ext. Ren."
"CT, Middlesex County","09007","Ext. Ren.","Ext. Ren."
"CT, New Haven County","09009","Ext. Ren.","Ext. Ren."
"CT, New London County","09011","Ext. Ren.","Ext. Ren."
"CT, Tolland County","09013","Ext. Ren.","Ext. Ren."
"CT, Windham County","09015","Ext. Ren.","Ext. Ren."
"DC, District of Columbia","11001","LREC","Ext. Ren."
"DE, Kent County","10001","LREC","Ext. Ren."
"DE, New Castle County","10003","Ext. Ren.","Ext. Ren."
"DE, Sussex County","10005","LREC","Ext. Ren."
"FL, Alachua County","12001","LREC","High-MF"
"FL, Baker County","12003","LREC","Ext. Ren."
"FL, Bay County","12005","LREC",NA
"FL, Bradford County","12007","LREC","Ext. Ren."
"FL, Brevard County","12009","LREC","IE & RFA"
"FL, Broward County","12011","LREC","IE & RFA"
"FL, Calhoun County","12013","LREC","Ext. Ren."
"FL, Charlotte County","12015","LREC","High-MF"
"FL, Citrus County","12017","LREC","Ext. Ren."
"FL, Clay County","12019","LREC","High-MF"
"FL, Collier County","12021","LREC","High-MF"
"FL, Columbia County","12023","LREC","Ext. Ren."
"FL, DeSoto County","12027","LREC","Ext. Ren."
"FL, Dixie County","12029","LREC","Ext. Ren."
"FL, Duval County","12031","LREC","IE & RFA"
"FL, Escambia County","12033","LREC","High-MF"
"FL, Flagler County","12035","LREC","High-MF"
"FL, Franklin County","12037","LREC",NA
"FL, Gadsden County","12039","LREC","Ext. Ren."
"FL, Gilchrist County","12041","LREC",NA
"FL, Glades County","12043","LREC","IE & RFA"
"FL, Gulf County","12045","LREC","Ext. Ren."
"FL, Hamilton County","12047","LREC","Ext. Ren."
"FL, Hardee County","12049","LREC","Ext. Ren."
"FL, Hendry County","12051","LREC","IE & RFA"
"FL, Hernando County","12053","LREC","High-MF"
"FL, Highlands County","12055","LREC","Ext. Ren."
"FL, Hillsborough County","12057","LREC","IE & RFA"
"FL, Holmes County","12059","LREC","Ext. Ren."
"FL, Indian River County","12061","LREC","IE & RFA"
"FL, Jackson County","12063","LREC","Ext. Ren."
"FL, Jefferson County","12065","LREC","Ext. Ren."
"FL, Lafayette County","12067","LREC","IE & RFA"
"FL, Lake County","12069","LREC","IE & RFA"
"FL, Lee County","12071","LREC","IE & RFA"
"FL, Leon County","12073","LREC","IE & RFA"
"FL, Levy County","12075","LREC","Ext. Ren."
"FL, Liberty County","12077","LREC","Ext. Ren."
"FL, Madison County","12079","LREC","Ext. Ren."
"FL, Manatee County","12081","LREC","IE & RFA"
"FL, Marion County","12083","LREC","High-MF"
"FL, Martin County","12085","LREC","High-MF"
"FL, Miami-Dade County","12086","LREC","IE & RFA"
"FL, Monroe County","12087","LREC","IE & RFA"
"FL, Nassau County","12089","LREC","IE & RFA"
"FL, Okaloosa County","12091","LREC","IE & RFA"
"FL, Okeechobee County","12093","LREC","Ext. Ren."
"FL, Orange County","12095","LREC","High-MF"
"FL, Osceola County","12097","LREC","High-MF"
"FL, Palm Beach County","12099","LREC","High-MF"
"FL, Pasco County","12101","LREC","IE & RFA"
"FL, Pinellas County","12103","LREC","High-MF"
"FL, Polk County","12105","LREC","IE & RFA"
"FL, Putnam County","12107","LREC","Ext. Ren."
"FL, Santa Rosa County","12113","LREC","High-MF"
"FL, Sarasota County","12115","LREC","IE & RFA"
"FL, Seminole County","12117","LREC","High-MF"
"FL, St. Johns County","12109","LREC","IE & RFA"
"FL, St. Lucie County","12111","LREC","IE & RFA"
"FL, Sumter County","12119","LREC","IE & RFA"
"FL, Suwannee County","12121","LREC","Ext. Ren."
"FL, Taylor County","12123","LREC","Ext. Ren."
"FL, Union County","12125","LREC","Ext. Ren."
"FL, Volusia County","12127","LREC","IE & RFA"
"FL, Wakulla County","12129","LREC","Ext. Ren."
"FL, Walton County","12131","LREC","Ext. Ren."
"FL, Washington County","12133","LREC","Ext. Ren."
"GA, Appling County","13001","LREC",NA
"GA, Atkinson County","13003","LREC","Ext. Ren."
"GA, Bacon County","13005","LREC",NA
"GA, Baker County","13007","LREC",NA
"GA, Baldwin County","13009","LREC","Ext. Ren."
"GA, Banks County","13011","LREC","Ext. Ren."
"GA, Barrow County","13013","LREC","IE & RFA"
"GA, Bartow County","13015","LREC","Ext. Ren."
"GA, Ben Hill County","13017","LREC","Ext. Ren."
"GA, Berrien County","13019","LREC","Ext. Ren."
"GA, Bibb County","13021","LREC","Ext. Ren."
"GA, Bleckley County","13023","LREC",NA
"GA, Brantley County","13025","LREC",NA
"GA, Brooks County","13027","LREC",NA
"GA, Bryan County","13029","LREC","IE & RFA"
"GA, Bulloch County","13031","LREC","Ext. Ren."
"GA, Burke County","13033","LREC","Ext. Ren."
"GA, Butts County","13035","LREC","Ext. Ren."
"GA, Calhoun County","13037","LREC","IE & RFA"
"GA, Camden County","13039","LREC","Ext. Ren."
"GA, Candler County","13043","LREC","Ext. Ren."
"GA, Carroll County","13045","LREC","Ext. Ren."
"GA, Catoosa County","13047","LREC","Ext. Ren."
"GA, Charlton County","13049","LREC","IE & RFA"
"GA, Chatham County","13051","LREC","IE & RFA"
"GA, Chattahoochee County","13053","LREC","Ext. Ren."
"GA, Chattooga County","13055","LREC","Ext. Ren."
"GA, Cherokee County","13057","LREC","IE & RFA"
"GA, Clarke County","13059","LREC","IE & RFA"
"GA, Clay County","13061","LREC","Ext. Ren."
"GA, Clayton County","13063","LREC","IE & RFA"
"GA, Clinch County","13065","LREC","IE & RFA"
"GA, Cobb County","13067","LREC","IE & RFA"
"GA, Coffee County","13069","LREC","Ext. Ren."
"GA, Colquitt County","13071","LREC","Ext. Ren."
"GA, Columbia County","13073","LREC","IE & RFA"
"GA, Cook County","13075","LREC",NA
"GA, Coweta County","13077","LREC","IE & RFA"
"GA, Crawford County","13079","LREC","Ext. Ren."
"GA, Crisp County","13081","LREC","Ext. Ren."
"GA, Dade County","13083","LREC","Ext. Ren."
"GA, Dawson County","13085","LREC",NA
"GA, Decatur County","13087","LREC","Ext. Ren."
"GA, DeKalb County","13089","LREC","Ext. Ren."
"GA, Dodge County","13091","LREC","Ext. Ren."
"GA, Dooly County","13093","LREC","Ext. Ren."
"GA, Dougherty County","13095","LREC","Ext. Ren."
"GA, Douglas County","13097","LREC","IE & RFA"
"GA, Early County","13099","LREC","Ext. Ren."
"GA, Echols County","13101","LREC","Ext. Ren."
"GA, Effingham County","13103","LREC","IE & RFA"
"GA, Elbert County","13105","LREC","Ext. Ren."
"GA, Emanuel County","13107","LREC","Ext. Ren."
"GA, Evans County","13109","LREC",NA
"GA, Fannin County","13111","LREC","IE & RFA"
"GA, Fayette County","13113","LREC","Ext. Ren."
"GA, Floyd County","13115","LREC","Ext. Ren."
"GA, Forsyth County","13117","LREC","IE & RFA"
"GA, Franklin County","13119","LREC","Ext. Ren."
"GA, Fulton County","13121","LREC","IE & RFA"
"GA, Gilmer County","13123","LREC","Ext. Ren."
"GA, Glascock County","13125","LREC","IE & RFA"
"GA, Glynn County","13127","LREC",NA
"GA, Gordon County","13129","LREC","Ext. Ren."
"GA, Grady County","13131","LREC","Ext. Ren."
"GA, Greene County","13133","LREC","Ext. Ren."
"GA, Gwinnett County","13135","LREC","IE & RFA"
"GA, Habersham County","13137","LREC","Ext. Ren."
"GA, Hall County","13139","LREC","Ext. Ren."
"GA, Hancock County","13141","LREC",NA
"GA, Haralson County","13143","LREC","Ext. Ren."
"GA, Harris County","13145","LREC","IE & RFA"
"GA, Hart County","13147","LREC",NA
"GA, Heard County","13149","LREC","Ext. Ren."
"GA, Henry County","13151","LREC","IE & RFA"
"GA, Houston County","13153","LREC","High-MF"
"GA, Irwin County","13155","LREC","Ext. Ren."
"GA, Jackson County","13157","LREC","Ext. Ren."
"GA, Jasper County","13159","LREC","Ext. Ren."
"GA, Jeff Davis County","13161","LREC","Ext. Ren."
"GA, Jefferson County","13163","LREC","Ext. Ren."
"GA, Jenkins County","13165","LREC",NA
"GA, Johnson County","13167","LREC","Ext. Ren."
"GA, Jones County","13169","LREC","Ext. Ren."
"GA, Lamar County","13171","LREC",NA
"GA, Lanier County","13173","LREC","Ext. Ren."
"GA, Laurens County","13175","LREC","Ext. Ren."
"GA, Lee County","13177","LREC","IE & RFA"
"GA, Liberty County","13179","LREC","Ext. Ren."
"GA, Lincoln County","13181","LREC","Ext. Ren."
"GA, Long County","13183","LREC","IE & RFA"
"GA, Lowndes County","13185","LREC","Ext. Ren."
"GA, Lumpkin County","13187","LREC","Ext. Ren."
"GA, Macon County","13193","LREC","Ext. Ren."
"GA, Madison County","13195","LREC","Ext. Ren."
"GA, Marion County","13197","LREC","Ext. Ren."
"GA, McDuffie County","13189","LREC","Ext. Ren."
"GA, McIntosh County","13191","LREC","Ext. Ren."
"GA, Meriwether County","13199","LREC","Ext. Ren."
"GA, Miller County","13201","LREC","Ext. Ren."
"GA, Mitchell County","13205","LREC","Ext. Ren."
"GA, Monroe County","13207","LREC","IE & RFA"
"GA, Montgomery County","13209","LREC",NA
"GA, Morgan County","13211","LREC","Ext. Ren."
"GA, Murray County","13213","LREC","Ext. Ren."
"GA, Muscogee County","13215","LREC","IE & RFA"
"GA, Newton County","13217","LREC","IE & RFA"
"GA, Oconee County","13219","LREC","Ext. Ren."
"GA, Oglethorpe County","13221","LREC","IE & RFA"
"GA, Paulding County","13223","LREC","IE & RFA"
"GA, Peach County","13225","LREC","Ext. Ren."
"GA, Pickens County","13227","LREC","Ext. Ren."
"GA, Pierce County","13229","LREC","Ext. Ren."
"GA, Pike County","13231","LREC","Ext. Ren."
"GA, Polk County","13233","LREC","Ext. Ren."
"GA, Pulaski County","13235","LREC","Ext. Ren."
"GA, Putnam County","13237","LREC","Ext. Ren."
"GA, Quitman County","13239","LREC",NA
"GA, Rabun County","13241","LREC",NA
"GA, Randolph County","13243","LREC","Ext. Ren."
"GA, Richmond County","13245","LREC","IE & RFA"
"GA, Rockdale County","13247","LREC","IE & RFA"
"GA, Schley County","13249","LREC",NA
"GA, Screven County","13251","LREC","Ext. Ren."
"GA, Seminole County","13253","LREC",NA
"GA, Spalding County","13255","LREC","Ext. Ren."
"GA, Stephens County","13257","LREC","Ext. Ren."
"GA, Stewart County","13259","LREC","Ext. Ren."
"GA, Sumter County","13261","LREC","Ext. Ren."
"GA, Talbot County","13263","LREC","Ext. Ren."
"GA, Taliaferro County","13265","Ext. Ren.","Ext. Ren."
"GA, Tattnall County","13267","LREC","IE & RFA"
"GA, Taylor County","13269","LREC","Ext. Ren."
"GA, Telfair County","13271","LREC","IE & RFA"
"GA, Terrell County","13273","LREC","Ext. Ren."
"GA, Thomas County","13275","LREC","Ext. Ren."
"GA, Tift County","13277","LREC","Ext. Ren."
"GA, Toombs County","13279","LREC","Ext. Ren."
"GA, Towns County","13281","LREC","IE & RFA"
"GA, Treutlen County","13283","LREC",NA
"GA, Troup County","13285","LREC","Ext. Ren."
"GA, Turner County","13287","LREC","Ext. Ren."
"GA, Twiggs County","13289","LREC","Ext. Ren."
"GA, Union County","13291","LREC","Ext. Ren."
"GA, Upson County","13293","LREC","Ext. Ren."
"GA, Walker County","13295","LREC","Ext. Ren."
"GA, Walton County","13297","LREC",NA
"GA, Ware County","13299","LREC","Ext. Ren."
"GA, Warren County","13301","LREC","Ext. Ren."
"GA, Washington County","13303","LREC",NA
"GA, Wayne County","13305","LREC","Ext. Ren."
"GA, Webster County","13307","LREC",NA
"GA, Wheeler County","13309","LREC",NA
"GA, White County","13311","LREC","Ext. Ren."
"GA, Whitfield County","13313","LREC","IE & RFA"
"GA, Wilcox County","13315","LREC","Ext. Ren."
"GA, Wilkes County","13317","LREC","Ext. Ren."
"GA, Wilkinson County","13319","LREC","Ext. Ren."
"GA, Worth County","13321","LREC","Ext. Ren."
"IA, Adair County","19001","LREC","Ext. Ren."
"IA, Adams County","19003","LREC","Ext. Ren."
"IA, Allamakee County","19005","Ext. Ren.","Ext. Ren."
"IA, Appanoose County","19007","LREC","Ext. Ren."
"IA, Audubon County","19009","Ext. Ren.","Ext. Ren."
"IA, Benton County","19011","LREC","Ext. Ren."
"IA, Black Hawk County","19013","LREC","Ext. Ren."
"IA, Boone County","19015","LREC","Ext. Ren."
"IA, Bremer County","19017","LREC","Ext. Ren."
"IA, Buchanan County","19019","LREC","Ext. Ren."
"IA, Buena Vista County","19021","LREC","Ext. Ren."
"IA, Butler County","19023","Ext. Ren.","Ext. Ren."
"IA, Calhoun County","19025","LREC","Ext. Ren."
"IA, Carroll County","19027","LREC","Ext. Ren."
"IA, Cass County","19029","LREC","Ext. Ren."
"IA, Cedar County","19031","Ext. Ren.","Ext. Ren."
